Samples	Top 25 CD4 expression	ACE2	TMPRSS2	CD4
721_B_lymphoblasts.1	Y	0.949390007	0.959041392	2.811440944
721_B_lymphoblasts.2	Y	1	0.770852012	2.719248398
Adipocyte.1	Y	1	0.919078092	2.590618948
Adipocyte.2	Y	1.017033339	0.903089987	2.464042205
AdrenalCortex.1	Y	0.875061263	0.954242509	2.281941933
AdrenalCortex.2	Y	0.959041392	0.995635195	2.28171497
Adrenalgland.1	Y	0.812913357	0.86923172	2.13225969
Adrenalgland.2	Y	1.056904851	1.056904851	1.968949681
Amygdala.1	Y	0.944482672	0.991226076	1.878521796
Amygdala.2	Y	1.041392685	1.086359831	1.82672252
Appendix.1	Y	1.075546961	1.103803721	1.780317312
Appendix.2	Y	1.017033339	1.045322979	1.764922985
AtrioventricularNode.1	Y	1.089905111	1.075546961	1.746634199
AtrioventricularNode.2	Y	0.939519253	1	1.701567985
BDCA4+_DentriticCells.1	Y	1.004321374	1.029383778	1.653212514
BDCA4+_DentriticCells.2	Y	0.832508913	0.903089987	1.645422269
Bonemarrow.1	Y	0.944482672	1.012837225	1.534026106
Bonemarrow.2	Y	1.173186268	1.130333768	1.434568904
BronchialEpithelialCells.1	Y	0.763427994	0.857332496	1.40654018
BronchialEpithelialCells.2	Y	0.939519253	0.968482949	1.383815366
CardiacMyocytes.1	Y	1.103803721	1.139879086	1.336459734
CardiacMyocytes.2	Y	1.068185862	1.152288344	1.305351369
Caudatenucleus.1	Y	1.004321374	1.037426498	1.255272505
Caudatenucleus.2	Y	1.227886705	1.130333768	1.220108088
CD105+_Endothelial.1	Y	0.986771734	1.037426498	1.214843848
CD105+_Endothelial.2	N	1.826074803	1.068185862	1.212187604
CD14+_Monocytes.1	N	0.826074803	0.86332286	1.204119983
CD14+_Monocytes.2	N	1.033423755	1.017033339	1.187520721
CD19+_BCells(neg._sel.).1	N	1.123851641	1.130333768	1.187520721
CD19+_BCells(neg._sel.).2	N	1.555094449	1.158362492	1.184691431
CD33+_Myeloid.1	N	0.929418926	0.959041392	1.181843588
CD33+_Myeloid.2	N	1.08278537	1.075546961	1.146128036
CD34+.1	N	1.113943352	1.096910013	1.113943352
CD34+.2	N	0.908485019	0.924279286	1.10720997
CD4+_Tcells.1	N	1.017033339	1.075546961	1.093421685
CD4+_Tcells.2	N	1.521138084	1.149219113	1.071882007
CD56+_NKCells.1	N	1.133538908	1.096910013	1.064457989
CD56+_NKCells.2	N	1.31386722	1.167317335	1.06069784
CD71+_EarlyErythroid.1	N	1.045322979	1.243038049	1.06069784
CD71+_EarlyErythroid.2	N	1.08278537	1.079181246	1.037426498
CD8+_Tcells.1	N	1.271841607	1.167317335	1.033423755
CD8+_Tcells.2	N	1.004321374	1.075546961	1.021189299
Cerebellum.1	N	1.164352856	1.167317335	1.021189299
Cerebellum.2	N	1.120573931	1.158362492	1.021189299
CerebellumPeduncles.1	N	1.064457989	1.133538908	1.017033339
CerebellumPeduncles.2	N	1.11058971	1.158362492	1.012837225
CiliaryGanglion.1	N	1.113943352	1.146128036	1.008600172
CiliaryGanglion.2	N	1.053078443	1.136720567	1.004321374
CingulateCortex.1	N	1.093421685	1.136720567	1
CingulateCortex.2	N	1.167317335	1.139879086	0.995635195
Colon.1	N	1.029383778	1.127104798	0.995635195
Colon.2	N	1	1.075546961	0.991226076
Colorectaladenocarcinoma.1	N	1.064457989	1.123851641	0.991226076
Colorectaladenocarcinoma.2	N	1.103803721	1.133538908	0.982271233
DorsalRootGanglion.1	N	1.021189299	1.025305865	0.982271233
DorsalRootGanglion.2	N	1.10720997	1.017033339	0.982271233
Fetalbrain.1	N	1.079181246	1.133538908	0.973127854
Fetalbrain.2	N	1.346352974	1.120573931	0.963787827
Fetalliver.1	N	1.033423755	1.071882007	0.959041392
Fetalliver.2	N	1.071882007	1.100370545	0.959041392
Fetallung.1	N	1.06069784	1.103803721	0.959041392
Fetallung.2	N	0.968482949	0.949390007	0.959041392
FetalThyroid.1	N	1.77524626	1.08278537	0.959041392
FetalThyroid.2	N	0.949390007	1.086359831	0.954242509
GlobusPallidus.1	N	1.071882007	1.025305865	0.954242509
GlobusPallidus.2	N	1.033423755	1.096910013	0.954242509
Heart.1	N	1.079181246	1.103803721	0.954242509
Heart.2	N	1.045322979	1.371067862	0.954242509
Hypothalamus.1	N	1.133538908	0.913813852	0.954242509
Hypothalamus.2	N	1.041392685	1.021189299	0.949390007
Kidney.1	N	1.653212514	1.079181246	0.949390007
Kidney.2	N	0.939519253	0.959041392	0.944482672
Leukemia_chronicMyelogenousK-562.1	N	0.919078092	1.012837225	0.944482672
Leukemia_chronicMyelogenousK-562.2	N	1.064457989	1.089905111	0.939519253
Leukemia_promyelocytic-HL-60.1	N	1.086359831	1.089905111	0.939519253
Leukemia_promyelocytic-HL-60.2	N	1.029383778	1.677606953	0.939519253
Leukemialymphoblastic(MOLT-4).1	N	1.012837225	1.049218023	0.934498451
Leukemialymphoblastic(MOLT-4).2	N	1.053078443	0.982271233	0.929418926
Liver.1	N	2.152594078	1.068185862	0.929418926
Liver.2	N	1.133538908	1.06069784	0.924279286
